Gemeindekennziffer_lang;Gemeindekennziffer_kurz;Bundesland_Code;Kreis_Code;Gemeinde_Name
130751495;0751495;13;075;Zerrenthin
130751505;0751505;13;075;Ziethen
130751515;0751515;13;075;Zinnowitz, Ostseebad
130751525;0751525;13;075;Zirchow
130751545;0751545;13;075;Züssow
130751555;0751555;13;075;Neetzow-Liepen
130751565;0751565;13;075;Karlsburg
130760015;0760015;13;076;Alt Krenzlin
130760025;0760025;13;076;Alt Zachun
130760035;0760035;13;076;Balow
130760045;0760045;13;076;Bandenitz
130760055;0760055;13;076;Banzkow
130760065;0760065;13;076;Barkhagen
130760075;0760075;13;076;Barnin
130760085;0760085;13;076;Belsch
130760095;0760095;13;076;Bengerstorf
130760105;0760105;13;076;Besitz
130760115;0760115;13;076;Blankenberg
130760125;0760125;13;076;Blievenstorf
130760135;0760135;13;076;Bobzin
130760140;0760140;13;076;Boizenburg/ Elbe, Stadt
130760155;0760155;13;076;Borkow
130760165;0760165;13;076;Brahlstorf
130760175;0760175;13;076;Brenz
130760185;0760185;13;076;Bresegard bei Eldena
130760195;0760195;13;076;Bresegard bei Picher
130760205;0760205;13;076;Brüel, Stadt
130760215;0760215;13;076;Brunow
130760235;0760235;13;076;Bülow
130760245;0760245;13;076;Cambs
130760255;0760255;13;076;Crivitz, Stadt
130760265;0760265;13;076;Dabel
130760275;0760275;13;076;Dambeck
130760295;0760295;13;076;Demen
130760305;0760305;13;076;Dersenow
130760325;0760325;13;076;Dobbertin
130760335;0760335;13;076;Dobin am See
130760345;0760345;13;076;Dömitz, Stadt
130760355;0760355;13;076;Domsühl
130760365;0760365;13;076;Dümmer
130760375;0760375;13;076;Eldena
130760385;0760385;13;076;Friedrichsruhe
130760395;0760395;13;076;Gallin
130760405;0760405;13;076;Gallin-Kuppentin
130760415;0760415;13;076;Gammelin
130760445;0760445;13;076;Gneven
130760465;0760465;13;076;Göhlen
130760485;0760485;13;076;Goldberg, Stadt
130760495;0760495;13;076;Gorlosen
130760505;0760505;13;076;Grabow, Stadt
130760515;0760515;13;076;Granzin
130760535;0760535;13;076;Grebs-Niendorf
130760545;0760545;13;076;Gresse
130760555;0760555;13;076;Greven
130760565;0760565;13;076;Groß Godems
130760575;0760575;13;076;Groß Krams
130760585;0760585;13;076;Groß Laasch
130760600;0760600;13;076;Hagenow, Stadt
130760625;0760625;13;076;Hohen Pritz
130760635;0760635;13;076;Holthusen
130760645;0760645;13;076;Hoort
130760655;0760655;13;076;Hülseburg
130760675;0760675;13;076;Karenz
130760685;0760685;13;076;Karrenzin
130760695;0760695;13;076;Karstädt
130760705;0760705;13;076;Kirch Jesar
130760715;0760715;13;076;Klein Rogahn
130760725;0760725;13;076;Kobrow
130760735;0760735;13;076;Kogel
130760755;0760755;13;076;Kreien
130760765;0760765;13;076;Kremmin
130760775;0760775;13;076;Kritzow
130760785;0760785;13;076;Kuhlen-Wendorf
130760795;0760795;13;076;Kuhstorf
130760805;0760805;13;076;Langen Brütz
130760825;0760825;13;076;Leezen
130760855;0760855;13;076;Lewitzrand
130760865;0760865;13;076;Lübesse
130760875;0760875;13;076;Lüblow
130760880;0760880;13;076;Lübtheen, Stadt
130760895;0760895;13;076;Lübz, Stadt
130760900;0760900;13;076;Ludwigslust, Stadt
130760925;0760925;13;076;Lüttow-Valluhn
130760935;0760935;13;076;Malk Göhren
130760945;0760945;13;076;Malliß
130760965;0760965;13;076;Mestlin
130760975;0760975;13;076;Milow
130760985;0760985;13;076;Möllenbeck
130760995;0760995;13;076;Moraas
130761005;0761005;13;076;Muchow
130761015;0761015;13;076;Mustin
130761025;0761025;13;076;Neu Gülze
130761035;0761035;13;076;Neu Kaliß
130761045;0761045;13;076;Neu Poserin
130761055;0761055;13;076;Neustadt-Glewe, Stadt
130761065;0761065;13;076;Nostorf
130761075;0761075;13;076;Pampow
130761080;0761080;13;076;Parchim, Stadt
130761095;0761095;13;076;Passow
130761105;0761105;13;076;Pätow-Steegen
130761115;0761115;13;076;Picher
130761125;0761125;13;076;Pinnow
130761135;0761135;13;076;Plate
130761145;0761145;13;076;Plau am See, Stadt
130761155;0761155;13;076;Prislich
