"gemeinde_kennziffer";"l_untergrenze";"exponierte";"l_zentral";"metrik";"quelle";"kartierungsumfang";"datenquelle";"bundesland_kreis_code";"Bundesland_Code";"Kreis_Code";"Kreis_Name"
"06431015";"50";"0";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431015";"55";"0";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431015";"60";"0";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431015";"65";"0";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431015";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431016";"55";"3732";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431016";"60";"1317";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431016";"65";"524";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431016";"70";"80";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431016";"75";"4";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431016";"50";"2486";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431016";"55";"790";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431016";"60";"259";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431016";"65";"20";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431016";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431017";"55";"363";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431017";"60";"216";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431017";"65";"174";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431017";"70";"128";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431017";"75";"54";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431017";"50";"249";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431017";"55";"178";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431017";"60";"114";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431017";"65";"93";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431017";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
